Company,Facility,Building/Area,Name,ID/Serial,Category,"Last Date Audited"
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,"2018-04-03 03:25 pm"
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,"2018-04-03 03:06 pm"
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,
GREIF,facility01,buidling,03-04-2018-CLONE,03-04-2018-CLONE,DISCONNECT,
